TEAM_ID,TEAM_NAME,SHORT_NAME,TLA,CREST_URL,LEAGUE_CODE
64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,CL
81,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png,CL
57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,CL
108,FC Internazionale Milano,Inter,INT,https://crests.football-data.org/108.png,CL
78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,CL
3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,CL
521,Lille OSC,Lille,LIL,https://crests.football-data.org/521.png,CL
58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,CL
102,Atalanta BC,Atalanta,ATA,https://crests.football-data.org/102.png,CL
4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,CL
86,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png,CL
5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,CL
98,AC Milan,Milan,MIL,https://crests.football-data.org/98.png,CL
674,PSV,PSV,PSV,https://crests.football-data.org/674.png,CL
524,Paris Saint-Germain FC,PSG,PSG,https://crests.football-data.org/524.png,CL
1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,CL
548,AS Monaco FC,Monaco,ASM,https://crests.football-data.org/548.png,CL
512,Stade Brestois 29,Brest,BRE,https://crests.football-data.org/512.png,CL
675,Feyenoord Rotterdam,Feyenoord,FEY,https://crests.football-data.org/675.png,CL
109,Juventus FC,Juventus,JUV,https://crests.football-data.org/109.png,CL
732,Celtic FC,Celtic,CEL,https://crests.football-data.org/732.png,CL
65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,CL
498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,CL
851,Club Brugge KV,Club Brugge,CLU,https://crests.football-data.org/851.png,CL
755,GNK Dinamo Zagreb,Dinamo Zagreb,DIN,https://crests.football-data.org/755.png,CL
10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,CL
1887,FK Shakhtar Donetsk,Shaktar,SHD,https://crests.football-data.org/1887.png,CL
103,Bologna FC 1909,Bologna,BOL,https://crests.football-data.org/103.png,CL
7283,FK Crvena Zvezda,Crvena Zvedza,CRV,https://crests.football-data.org/7283.png,CL
2021,SK Sturm Graz,Sturm Graz,STU,https://crests.football-data.org/2021.png,CL
907,AC Sparta Praha,Sparta Praha,SPP,https://crests.football-data.org/907.png,CL
721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,CL
298,Girona FC,Girona,GIR,https://crests.football-data.org/298.png,CL
1877,FC Red Bull Salzburg,RB Salzburg,RBS,https://crests.football-data.org/1877.png,CL
7509,ŠK Slovan Bratislava,Sl. Bratislava,SBA,https://crests.football-data.org/7509.png,CL
1871,BSC Young Boys,Young Boys,YOB,https://crests.football-data.org/1871.png,CL
5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,BL1
3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,BL1
19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,BL1
721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,BL1
10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,BL1
17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,BL1
15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,BL1
18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,BL1
11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,BL1
12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,BL1
4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,BL1
16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,BL1
28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,BL1
20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,BL1
2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,BL1
44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,BL1
720,Holstein Kiel,Holstein Kiel,KSV,https://crests.football-data.org/720.png,BL1
36,VfL Bochum 1848,Bochum,BOC,https://crests.football-data.org/36.png,BL1
113,SSC Napoli,Napoli,NAP,https://crests.football-data.org/113.png,SA
108,FC Internazionale Milano,Inter,INT,https://crests.football-data.org/108.png,SA
102,Atalanta BC,Atalanta,ATA,https://crests.football-data.org/102.png,SA
110,SS Lazio,Lazio,LAZ,https://crests.football-data.org/110.png,SA
109,Juventus FC,Juventus,JUV,https://crests.football-data.org/109.png,SA
99,ACF Fiorentina,Fiorentina,FIO,https://crests.football-data.org/99.png,SA
98,AC Milan,Milan,MIL,https://crests.football-data.org/98.png,SA
103,Bologna FC 1909,Bologna,BOL,https://crests.football-data.org/103.png,SA
100,AS Roma,Roma,ROM,https://crests.football-data.org/100.png,SA
115,Udinese Calcio,Udinese,UDI,https://crests.football-data.org/115.png,SA
586,Torino FC,Torino,TOR,https://crests.football-data.org/586.png,SA
107,Genoa CFC,Genoa,GEN,https://crests.football-data.org/107.png,SA
104,Cagliari Calcio,Cagliari,CAG,https://crests.football-data.org/104.png,SA
5890,US Lecce,Lecce,USL,https://crests.football-data.org/5890.png,SA
450,Hellas Verona FC,Verona,HVE,https://crests.football-data.org/450.png,SA
7397,Como 1907,Como 1907,COM,https://crests.football-data.org/7397.png,SA
445,Empoli FC,Empoli,EMP,https://crests.football-data.org/445.png,SA
112,Parma Calcio 1913,Parma,PAR,https://crests.football-data.org/112.png,SA
454,Venezia FC,Venezia FC,VEN,https://crests.football-data.org/454.png,SA
5911,AC Monza,Monza,MON,https://crests.football-data.org/5911.png,SA
64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,PL
57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,PL
351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,PL
61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,PL
65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,PL
67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,PL
1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/bournemouth.png,PL
58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,PL
63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.png,PL
397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.png,PL
402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,PL
354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,PL
66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,PL
73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,PL
563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,PL
62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,PL
76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.png,PL
338,Leicester City FC,Leicester City,LEI,https://crests.football-data.org/338.png,PL
349,Ipswich Town FC,Ipswich Town,IPS,https://crests.football-data.org/349.png,PL
340,Southampton FC,Southampton,SOU,https://crests.football-data.org/340.png,PL
86,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png,PD
78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,PD
81,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png,PD
77,Athletic Club,Athletic,ATH,https://crests.football-data.org/77.png,PD
94,Villarreal CF,Villarreal,VIL,https://crests.football-data.org/94.png,PD
87,Rayo Vallecano de Madrid,Rayo Vallecano,RAY,https://crests.football-data.org/87.png,PD
92,Real Sociedad de Fútbol,Real Sociedad,RSO,https://crests.football-data.org/92.png,PD
298,Girona FC,Girona,GIR,https://crests.football-data.org/298.png,PD
79,CA Osasuna,Osasuna,OSA,https://crests.football-data.org/79.png,PD
89,RCD Mallorca,Mallorca,MAL,https://crests.football-data.org/89.png,PD
90,Real Betis Balompié,Real Betis,BET,https://crests.football-data.org/90.png,PD
559,Sevilla FC,Sevilla FC,SEV,https://crests.football-data.org/559.png,PD
558,RC Celta de Vigo,Celta,CEL,https://crests.football-data.org/558.png,PD
82,Getafe CF,Getafe,GET,https://crests.football-data.org/82.png,PD
275,UD Las Palmas,Las Palmas,LPA,https://crests.football-data.org/275.png,PD
80,RCD Espanyol de Barcelona,Espanyol,ESP,https://crests.football-data.org/80.png,PD
745,CD Leganés,Leganés,LEG,https://crests.football-data.org/745.png,PD
95,Valencia CF,Valencia,VAL,https://crests.football-data.org/95.png,PD
263,Deportivo Alavés,Alavés,ALA,https://crests.football-data.org/263.png,PD
250,Real Valladolid CF,Valladolid,VDD,https://crests.football-data.org/250.png,PD
